date,open,high,low,close,volume,amount
2008-06-09,12210.1299,12406.3604,12102.5,12280.3203,266350000,3262740000000
2008-06-10,12277.71,12425.9805,12116.5801,12289.7598,240760000,2955930000000
2008-06-11,12286.3398,12317.2002,12029.46,12083.7695,247120000,3009720000000
2008-06-12,12089.6299,12337.7197,12041.4297,12141.5801,260960000,3171340000000
2008-06-13,12144.5898,12376.7197,12096.2305,12307.3496,247980000,3033100000000
2008-06-16,12306.8604,12381.4404,12139.79,12269.0801,222140000,2726610000000
2008-06-17,12269.6504,12378.6699,12114.1396,12160.2998,174690000,2136580000000
2008-06-18,12158.6797,12212.3301,11947.0703,12029.0596,212900000,2573280000000
2008-06-19,12022.54,12188.3096,11881.0303,12063.0898,230920000,2779990000000
2008-06-20,12062.1904,12078.2305,11785.04,11842.6904,429700000,5131490000000
2008-06-23,11843.8301,11986.96,11731.0596,11842.3604,182870000,2167200000000
2008-06-24,11842.3604,11962.3701,11668.5303,11807.4297,225270000,2662730000000
2008-06-25,11805.3096,12008.7002,11683.75,11811.8301,236160000,2793160000000
2008-06-26,11808.5703,11808.5703,11431.9199,11453.4199,302550000,3517330000000
2008-06-27,11452.8496,11556.3301,11248.4805,11346.5098,338250000,3856400000000
2008-06-30,11345.7002,11504.5498,11226.3398,11350.0098,282210000,3204960000000
2008-07-01,11344.6396,11465.79,11106.6504,11382.2598,299590000,3392810000000
2008-07-02,11382.3398,11510.4102,11180.5801,11215.5098,230690000,2611920000000
2008-07-03,11297.3301,11336.4902,11158.0195,11288.5303,148760000,1676540000000
2008-07-07,11289.1904,11477.5195,11094.4404,11231.96,248240000,2798480000000
2008-07-08,11225.0303,11459.5195,11101.1904,11384.21,271500000,3065910000000
2008-07-09,11381.9297,11505.1201,11115.6104,11147.4404,227100000,2563400000000
2008-07-10,11148.0098,11351.2402,11006.0098,11229.0195,248010000,2773640000000
2008-07-11,11226.1699,11292.04,10908.6396,11100.54,275010000,3061370000000
2008-07-14,11103.6396,11299.7002,10972.6299,11055.1904,205360000,2281100000000
2008-07-15,11050.7998,11201.6699,10731.96,10962.54,331390000,3640900000000
2008-07-16,10961.8896,11308.4102,10831.6104,11239.2803,307590000,3409730000000
2008-07-17,11238.3896,11538.5,11118.46,11446.6602,335260000,3800340000000
2008-07-18,11436.5596,11599.5703,11290.5,11496.5703,378610000,4337280000000
