代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
113058,友发转债,141.159,-0.76,601686,友发集团,6.35,-1.7,1.39,4.77,133.12,6.04,AA,3.339,6.201,21.3,2028-03-30,2.463,19.578,5672.53,2.06,-8.02,147.2
118051,皓元转债,199.81,-4.3,688131,皓元医药,75.92,-6.27,5.35,40.55,187.23,6.72,AA-,28.385,52.715,5.1,2030-11-28,5.129,8.218,21977.1,13.18,-10.01,206.53
127084,柳工转2,157.143,-2.23,000528,柳工,10.73,-2.72,1.21,7.3,146.99,6.91,AAA,5.11,9.49,11.4,2029-03-27,3.455,24.81,19344.59,4.96,-8.39,164.05
127086,恒邦转债,145.24,-0.16,002237,恒邦股份,15.09,-0.85,1.73,11.19,134.85,7.7,AA+,7.833,14.547,23.0,2029-06-12,3.666,31.586,14632.08,3.21,-6.97,152.94
123209,聚隆转债,201.728,-4.49,300644,南京聚隆,33.27,-5.75,3.75,17.77,187.23,7.74,A+,12.439,23.101,5.7,2029-07-26,3.786,1.674,14831.03,44.03,-13.42,209.47
113671,武进转债,149.775,-0.56,603878,武进不锈,11.02,1.94,2.35,7.93,138.97,7.78,AA,5.551,10.309,5.0,2029-07-10,3.743,3.098,41240.02,88.9,-7.09,157.56
111016,神通转债,161.538,-1.21,605228,神通科技,17.25,-0.63,4.67,11.51,149.87,7.79,AA-,8.057,14.963,7.4,2029-07-25,3.784,5.492,8088.7,9.15,-7.82,169.33
113663,新化转债,173.8,-2.14,603867,新化股份,31.82,-2.39,2.48,19.81,160.63,8.2,AA-,13.867,25.753,8.2,2028-11-28,3.129,5.021,5210.69,5.96,-11.5,182.0
113621,彤程转债,157.502,-0.94,603650,彤程新材,45.24,2.08,8.19,31.11,145.42,8.31,AA,21.777,40.443,2.0,2027-01-26,1.288,5.363,41508.92,48.01,-23.64,165.81
123187,超达转债,149.731,-1.29,301186,超达装备,43.14,-1.37,2.26,31.23,138.14,8.39,A,21.861,40.599,8.4,2029-04-04,3.477,2.734,4193.61,10.28,-6.27,158.12
113631,皖天转债,136.327,0.24,603689,皖天然气,8.62,-0.69,1.26,6.86,125.66,8.49,AA+,4.802,8.918,20.1,2027-11-08,2.071,8.399,5290.92,4.65,-8.7,144.82
113047,旗滨转债,142.409,-0.26,601636,旗滨集团,7.12,-0.42,1.37,5.43,131.12,8.61,AA+,3.801,7.059,7.8,2027-04-09,1.488,14.981,8558.79,4.01,-15.18,151.02
113651,松霖转债,205.733,-4.71,603992,松霖科技,28.9,-6.17,3.9,15.3,188.89,8.92,AA,10.71,19.89,1.9,2028-07-20,2.77,2.378,10816.87,21.94,-19.1,214.65
123212,立中转债,142.559,-0.27,300428,立中集团,24.42,-1.09,2.03,18.66,130.87,8.93,AA-,13.062,24.258,6.6,2029-07-27,3.789,8.997,6652.11,5.26,-5.06,151.49
123239,锋工转债,157.316,-3.58,300488,恒锋工具,34.69,-3.93,3.62,24.19,143.41,9.7,A+,16.933,31.447,8.8,2030-01-18,4.269,4.379,8247.08,11.98,-6.3,167.02
127073,天赐转债,142.898,1.87,002709,天赐材料,36.97,4.67,5.36,28.5,129.72,10.16,AA,19.95,37.05,6.7,2027-09-23,1.945,34.097,41786.92,8.68,-12.47,153.06
127019,国城转债,130.318,-1.5,000688,国城矿业,14.88,-3.0,4.72,12.58,118.28,10.18,A+,8.806,16.354,4.5,2026-07-15,0.753,7.518,5429.43,5.57,-20.77,140.5
118048,利扬转债,221.8,1.31,688135,利扬芯片,32.42,1.22,5.87,16.12,201.12,10.28,A+,11.284,20.956,7.3,2030-07-02,4.721,4.809,44337.86,42.0,-12.42,232.08
