代码,转债名称,现价,涨跌幅,正股代码,正股名称,正股价,正股涨跌,正股PB,转股价,转股价值,转股溢价率,债券评级,回售触发价,强赎触发价,转债占比,到期时间,剩余年限,剩余规模,成交额,换手率,到期税前收益,双低
123091,长海转债,109.531,-0.8,300196,长海股份,10.73,-0.09,0.98,15.79,67.95,61.18,AA,11.05,20.53,20.8,2026-12-23,3.014,5.497,882.71,1.46,1.76,170.71
113644,艾迪转债,108.579,0.03,603638,艾迪精密,15.98,0.88,4.11,23.74,67.31,61.31,AA-,16.62,30.86,7.5,2028-04-15,4.326,10.0,454.65,0.42,2.39,169.89
118018,瑞科转债,112.485,0.28,688323,瑞华泰,21.5,6.7,3.83,30.91,69.56,61.72,A+,21.64,40.18,20.5,2028-08-18,4.669,4.3,1121.08,2.33,0.35,174.21
128053,尚荣转债,138.2,-0.58,002551,尚荣医疗,4.16,-0.48,1.27,4.88,85.25,62.12,AA,3.42,6.34,7.5,2025-02-14,1.159,1.896,2767.28,10.51,-16.91,200.32
127030,盛虹转债,106.55,-0.39,000301,东方盛虹,8.73,-0.23,1.53,13.31,65.59,62.45,AA+,9.32,17.3,10.4,2027-03-22,3.258,49.977,888.15,0.17,1.54,169.0
113659,莱克转债,106.75,-0.14,603355,莱克电气,21.78,0.32,3.08,33.21,65.58,62.77,AA,23.25,43.17,9.7,2028-10-14,4.825,12.0,419.99,0.33,1.55,169.52
110087,天业转债,100.92,-0.75,600075,新疆天业,4.21,-1.17,0.77,6.8,61.91,63.01,AA+,4.76,8.84,41.7,2028-06-23,4.515,29.999,2366.68,0.78,2.44,163.93
123076,强力转债,111.583,0.88,300429,强力新材,12.9,1.65,3.5,18.9,68.25,63.48,AA-,13.23,24.57,17.5,2026-11-19,2.921,8.498,3291.08,3.48,1.51,175.06
127041,弘亚转债,109.99,-0.01,002833,弘亚数控,17.36,2.12,2.6,25.84,67.18,63.72,AA-,18.09,33.59,13.5,2026-07-12,2.564,5.999,743.42,1.13,2.64,173.71
127022,恒逸转债,99.9,-0.42,000703,恒逸石化,6.7,0.75,0.98,11.0,60.91,64.01,AA+,7.7,14.3,8.2,2026-10-16,2.827,19.998,1697.31,0.85,2.73,163.91
113052,兴业转债,101.608,0.0,601166,兴业银行,14.4,0.28,0.38,23.29,61.83,64.34,AAA,,30.28,16.7,2027-12-27,4.025,499.976,27987.23,0.55,3.01,165.95
113048,晶科转债,105.813,-0.36,601778,晶科科技,3.38,-1.46,0.77,5.25,64.38,64.35,AA,3.68,6.83,19.0,2027-04-23,3.345,22.959,1648.07,0.68,2.93,170.16
113653,永22转债,106.769,-0.94,603681,永冠新材,14.67,0.48,1.13,22.59,64.94,64.41,AA-,15.81,29.37,27.5,2028-07-28,4.611,7.7,1656.46,2.01,2.74,171.18
118042,奥维转债,110.023,-0.39,688516,奥特维,83.01,0.51,5.71,124.65,66.59,65.21,AA-,87.26,162.05,12.6,2029-08-09,5.644,11.4,1209.94,0.96,1.56,175.23
110085,通22转债,105.613,-0.13,600438,通威股份,22.68,1.07,1.59,35.5,63.89,65.31,AA+,24.85,46.15,11.7,2028-02-24,4.186,119.832,6430.66,0.51,1.72,170.92
128129,青农转债,102.27,0.06,002958,青农商行,2.61,-0.38,0.38,4.22,61.85,65.36,AAA,,5.49,39.2,2026-08-25,2.685,49.997,3632.19,0.71,3.08,167.63
127052,西子转债,104.532,-0.4,002534,西子洁能,11.81,0.25,2.24,18.7,63.16,65.52,AA,13.09,24.31,12.9,2027-12-24,4.016,11.1,857.37,0.74,2.42,170.05
113593,沪工转债,114.12,-0.5,603131,上海沪工,14.46,-0.62,3.51,21.1,68.53,66.52,A+,14.77,27.43,8.7,2026-07-20,2.586,3.997,501.82,1.1,1.8,180.64
118013,道通转债,109.772,-3.29,688208,道通科技,22.88,-8.74,3.12,34.71,65.92,66.53,AA,24.3,45.12,12.4,2028-07-08,4.556,12.797,6532.26,4.63,1.98,176.3
113610,灵康转债,107.72,-0.33,603669,灵康药业,5.5,-1.43,3.83,8.51,64.63,66.67,A+,5.96,11.06,11.5,2026-12-01,2.953,4.579,509.42,1.03,3.49,174.39
123165,回天转债,106.023,0.27,300041,回天新材,9.82,0.0,1.91,15.45,63.56,66.81,AA-,10.82,20.09,15.9,2028-10-27,4.86,8.5,611.93,0.68,2.63,172.83
113606,荣泰转债,110.125,0.11,603579,荣泰健康,20.87,-0.52,1.45,31.66,65.92,67.06,AA-,22.16,41.16,20.7,2026-10-30,2.866,5.999,388.76,0.59,2.79,177.19
123109,昌红转债,113.506,-0.24,300151,昌红科技,18.2,1.96,5.81,26.9,67.66,67.76,AA-,18.83,34.97,7.9,2027-04-01,3.285,4.595,418.15,0.8,1.75,181.27
127085,韵达转债,108.314,-1.03,002120,韵达股份,7.78,-1.52,1.23,12.1,64.3,68.46,AA+,8.47,15.73,11.2,2029-04-11,5.315,24.5,1748.01,0.66,0.73,176.77
110086,精工转债,102.0,-0.07,600496,精工钢构,2.97,0.0,0.7,4.92,60.37,68.97,AA,3.44,6.4,33.5,2028-04-22,4.345,20.0,1163.85,0.57,3.24,170.97
113670,金23转债,110.096,-0.28,603180,金牌厨柜,25.29,0.04,1.46,38.85,65.1,69.13,AA,27.2,50.51,19.7,2029-04-17,5.332,7.7,405.37,0.48,1.68,179.23
113616,韦尔转债,112.7,-0.26,603501,韦尔股份,108.28,1.85,7.28,162.8,66.51,69.45,AA+,113.96,211.64,1.9,2026-12-28,3.027,24.329,3194.68,1.16,0.36,182.15
113629,泉峰转债,111.25,-0.84,603982,泉峰汽车,14.6,-1.35,1.54,22.24,65.65,69.47,AA-,15.57,28.91,17.4,2027-09-14,3.74,6.191,789.44,1.14,2.09,180.72
118006,阿拉转债,113.281,0.34,688179,阿拉丁,18.91,0.53,3.73,28.29,66.84,69.47,A+,19.8,36.78,10.3,2028-03-15,4.241,3.87,765.58,1.74,1.65,182.75
128134,鸿路转债,107.5,-0.65,002541,鸿路钢构,20.9,-1.09,1.61,32.96,63.41,69.53,AA,23.07,42.85,15.2,2026-10-09,2.808,15.728,1819.87,1.07,1.92,177.03
123210,信服转债,112.302,-1.49,300454,深信服,74.0,-2.23,3.92,111.74,66.23,69.58,AA,78.22,145.26,6.0,2029-07-26,5.606,12.148,2855.32,2.09,0.08,181.88
113049,长汽转债,107.692,-0.34,601633,长城汽车,25.42,-0.7,3.29,40.08,63.42,69.8,AAA,28.06,52.1,2.2,2027-06-10,3.477,34.953,2767.37,0.73,0.59,177.49
118034,晶能转债,101.399,-0.37,688223,晶科能源,8.16,0.12,2.46,13.7,59.56,70.24,AA+,9.59,16.44,39.9,2029-04-20,5.34,100.0,6243.26,0.62,2.0,171.64
