序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
31,FTSE,英国富时100,9226.97,-1.14,-0.01,9228.11,9250.99,9207.7,9228.11,0.47,2025-09-19 18:08:03
32,399001,深证成指,13070.86,-4.8,-0.04,13074.91,13182.6,13016.06,13075.66,1.27,2025-09-19 15:35:00
33,KLSE,富时马来西亚KLCI,1598.23,-0.7,-0.04,1598.99,1600.4,1595.68,1598.93,0.3,2025-09-19 17:05:00
34,BVSP,巴西BOVESPA,145499.0,-95.0,-0.07,145593.63,145726.0,144993.0,145594.0,0.5,2025-09-19 03:58:59
35,ICEXI,冰岛ICEX,2103.65,-1.44,-0.07,2105.09,2105.9,2103.24,2105.09,0.13,2025-09-19 18:07:15
36,OSEBX,挪威OSEBX,1649.98,-1.27,-0.08,1651.89,1658.31,1649.35,1651.25,0.54,2025-09-19 18:08:05
37,GDAXI,德国DAX30,23644.28,-30.25,-0.13,23723.34,23785.24,23638.93,23674.53,0.62,2025-09-19 17:53:06
38,AXX,富时AIM全股,771.3,-1.04,-0.13,773.03,773.51,771.06,772.34,0.32,2025-09-19 18:08:00
39,PSI20,葡萄牙PSI20,7714.46,-11.74,-0.15,7730.62,7779.54,7712.55,7726.2,0.87,2025-09-19 17:53:00
40,399006,创业板指,3091.0,-4.85,-0.16,3098.28,3128.38,3072.76,3095.85,1.8,2025-09-19 15:34:27
41,STI,富时新加坡海峡时报,4302.71,-9.91,-0.23,4315.67,4319.64,4298.94,4312.62,0.48,2025-09-19 17:20:00
42,AEX,荷兰AEX,930.68,-2.62,-0.28,930.16,934.06,927.4,933.3,0.71,2025-09-19 17:53:00
43,000001,上证指数,3820.09,-11.57,-0.3,3830.44,3843.17,3811.9,3831.66,0.82,2025-09-19 16:11:41
44,SET,泰国SET,1292.72,-4.29,-0.33,1300.09,1302.49,1292.41,1297.01,0.78,2025-09-19 17:29:57
45,VNINDEX,越南胡志明,1659.21,-5.97,-0.36,1665.18,1671.94,1638.44,1665.18,2.01,2025-09-19 15:45:10
46,KOSPI200,韩国KOSPI200,473.44,-1.9,-0.4,475.59,477.13,471.85,475.34,1.11,2025-09-19 14:29:59
47,MXX,墨西哥BOLSA,61323.95,-272.28,-0.44,61605.75,61605.75,60860.09,61596.23,1.21,2025-09-19 04:22:38
48,KS11,韩国KOSPI,3445.24,-16.06,-0.46,3461.23,3467.89,3434.61,3461.3,0.96,2025-09-19 14:29:59
49,SENSEX,印度孟买SENSEX,82622.28,-403.04,-0.49,82954.16,82954.16,82487.65,83025.32,0.56,2025-09-19 17:53:05
50,RTS,俄罗斯RTS,1052.89,-5.2,-0.49,1057.81,1058.37,1050.04,1058.09,0.79,2025-09-19 18:07:59
51,OMXC20,OMX哥本哈根20,1627.31,-9.22,-0.56,1643.52,1643.94,1626.3,1636.53,1.08,2025-09-19 18:08:07
52,N225,日经225,45045.81,-257.62,-0.57,45634.29,45852.75,44495.46,45303.43,3.0,2025-09-19 14:30:00
53,MCX,英国富时250,21591.83,-134.12,-0.62,21725.95,21770.62,21590.67,21725.95,0.83,2025-09-19 18:08:04
54,TWII,台湾加权,25578.37,-190.99,-0.74,25794.66,25864.01,25578.37,25769.36,1.11,2025-09-19 13:30:00
55,CRB,路透CRB商品指数,301.23,-2.37,-0.78,301.23,301.23,301.23,303.6,0.0,2025-09-19 01:00:02
56,HSCCI,红筹指数,4126.05,-131.6,-3.09,4230.88,4239.1,4117.66,4257.65,2.85,2025-09-19 16:08:30
